14:8:25,15200,2074,623,8,
14:8:25,15300,2087,629,8,
14:8:25,15400,2106,631,8,
14:8:25,15500,2115,637,8,
14:8:25,15600,2123,641,8,
14:8:25,15700,2136,650,8,
14:8:25,15800,2150,654,8,
14:8:26,15900,2159,658,8,
14:8:26,16000,2174,661,8,
14:8:26,16100,2193,666,8,
14:8:26,16200,2204,668,8,
14:8:26,16300,2217,672,8,
14:8:26,16400,2229,675,8,
14:8:26,16500,2245,678,8,
14:8:26,16600,2255,684,8,
14:8:26,16700,2268,689,8,
14:8:26,16800,2280,693,8,
14:8:26,16900,2292,697,8,
14:8:26,17000,2307,698,8,
14:8:26,17100,2324,702,8,
14:8:26,17200,2328,705,10,
14:8:26,17300,2346,710,10,
14:8:26,17400,2359,711,10,
14:8:26,17500,2375,711,10,
14:8:26,17600,2386,711,10,
14:8:26,17700,2408,718,10,
14:8:26,17800,2422,720,10,
14:8:26,17900,2441,721,10,
14:8:26,18000,2454,723,10,
14:8:27,18100,2470,731,10,
14:8:27,18200,2485,732,10,
14:8:27,18300,2499,736,10,
14:8:27,18400,2508,738,10,
14:8:27,18500,2522,741,10,
14:8:27,18600,2538,745,10,
14:8:27,18700,2546,751,10,
14:8:27,18800,2557,752,10,
14:8:27,18900,2575,758,10,
14:8:27,19000,2591,764,10,
14:8:27,19100,2609,766,10,
14:8:27,19200,2614,771,10,
14:8:27,19300,2630,774,10,
14:8:27,19400,2644,775,10,
14:8:27,19500,2652,778,10,
14:8:27,19600,2665,785,10,
14:8:27,19700,2683,789,10,
14:8:27,19800,2698,791,10,
14:8:27,19900,2712,796,10,
14:8:27,20000,2726,803,10,
14:8:27,20100,2740,809,10,
14:8:28,20200,2760,816,10,
14:8:28,20300,2777,819,10,
14:8:28,20400,2790,824,10,
14:8:28,20500,2814,829,10,
14:8:28,20600,2832,838,10,
14:8:28,20700,2842,841,10,
14:8:28,20800,2857,848,10,
14:8:28,20900,2873,852,10,
14:8:28,21000,2884,854,10,
14:8:28,21100,2896,856,10,
