#section:000000000003, isUP:1, length:1, detectors:2
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
001302400,00020101,000827,51,000001,000003,0.0154973
001304800,00030100,000828,51,000001,000002,0.0155301
001307100,00020101,000829,51,000001,000004,0.0153328
001309400,00020101,000831,51,000001,000003,0.0146048
001311600,00030100,000832,51,000001,000002,0.0150669
001313100,00020101,000833,51,000001,000003,0.0154742
001316000,00020101,000835,51,000001,000004,0.0153992
001342400,00030100,000798,21,000004,000003,0.00978777
001363500,00030100,000855,21,000004,000003,0.0103322
001378200,00030100,000868,21,000004,000003,0.0105104
001383600,00030100,000872,21,000004,000003,0.0104347
001392300,00020101,000692,21,000002,000003,0.00864581
001405100,00020101,000837,51,000001,000004,0.01276
001407400,00030100,000838,51,000001,000002,0.0133241
001409400,00020101,000839,51,000001,000003,0.0134411
001411400,00030100,000840,51,000001,000002,0.0138653
001413500,00020101,000841,51,000001,000003,0.0137298
001416000,00020101,000843,51,000001,000004,0.0139265
001419600,00020101,000845,51,000001,000003,0.0148495
001422000,00030100,000846,51,000001,000002,0.0147074
001424300,00020101,000895,51,000001,000004,0.0147128
001426500,00030100,000897,51,000001,000002,0.0146446
001430000,00030100,000901,51,000001,000002,0.0156147
001432300,00020101,000904,51,000001,000004,0.0152632
001434600,00030100,000905,51,000001,000002,0.0150751
001436000,00020101,000907,51,000001,000003,0.01544
001436900,00030100,000908,51,000001,000003,0.014361
001439100,00020101,000909,51,000001,000004,0.0149045
001442800,00020101,000912,51,000001,000004,0.0157558
001444300,00030100,000914,51,000001,000003,0.0156718
001446800,00020101,000915,51,000001,000004,0.0157198
001453000,00020101,000919,22,000001,000004,0.0156668
001455200,00020101,000920,51,000001,000004,0.0148054
001458500,00030100,000921,51,000001,000002,0.0123895
001483000,00030100,000884,21,000004,000003,0.00971716
001486200,00030100,000887,21,000004,000003,0.0100183
001492500,00030100,000890,21,000004,000003,0.0103026
001497900,00030100,000899,21,000004,000003,0.0104767
001501900,00030100,000941,21,000004,000003,0.0101631
001512800,00030100,000948,21,000004,000003,0.0104732
001514700,00030100,000950,21,000004,000003,0.00956456
001516700,00030100,000952,21,000004,000003,0.00914398
001522100,00030100,000958,21,000004,000003,0.0104224
001525200,00030100,000961,21,000004,000003,0.0104262
001529000,00020101,000731,21,000002,000003,0.00891817
001544200,00030100,000923,51,000001,000002,0.0120083
001615100,00030100,000966,21,000004,000003,0.00844229
001631500,00020101,000894,21,000002,000003,0.0105666
001635400,00020101,000945,21,000002,000003,0.0107247
001637400,00020101,000982,21,000002,000003,0.00957657
001639500,00020101,001028,21,000002,000003,0.00905071
001644800,00030100,000969,21,000004,000003,0.00866488
001647000,00030100,000971,21,000004,000003,0.0085766
001667000,00020101,001045,21,000002,000003,0.0105674
001669100,00020101,001048,21,000002,000003,0.00935442
001684200,00020101,000926,51,000001,000003,0.0120083
001686600,00020101,000928,51,000001,000004,0.0120937
001688600,00030100,000929,51,000001,000003,0.0129564
001690500,00020101,000930,51,000001,000004,0.0134557
001692900,00020101,000932,51,000001,000003,0.0130703
001695800,00030100,000934,51,000001,000002,0.0139429
001697100,00020101,000981,51,000001,000003,0.0140021
001704500,00020101,001068,51,000001,000004,0.014672
001705900,00030100,001070,51,000001,000003,0.0147426
001708000,00020101,001071,22,000001,000004,0.0144448
001709900,00020101,001072,22,000001,000004,0.0134183
001711900,00020101,001073,51,000001,000003,0.012996
001715200,00020101,001076,51,000001,000004,0.0149164
001716800,00030100,001077,51,000001,000003,0.0154647
001719100,00020101,001078,51,000001,000004,0.0152889
001721300,00020101,001079,22,000001,000004,0.0145407
001722700,00030100,001082,51,000001,000003,0.0154858
001725400,00030100,001083,51,000001,000002,0.0152496
001729800,00020101,001087,51,000001,000004,0.0154986
001731300,00030100,001088,51,000001,000003,0.0155263
001733700,00020101,001089,51,000001,000004,0.0155607
001735300,00030100,001091,51,000001,000003,0.0156881
001736100,00020101,001092,51,000001,000003,0.0148956
001760400,00030100,000976,21,000004,000003,0.00923381
